Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
dez/01;109,999;100,311;96,151;117,56;;0,999600443;1,001005047;0,998951107;0,999868128;;dez/01;-0,0238;-0,0021;-0,0773;0,0038;;dez/07;0,002826879;0,032575142;-0,044484505;0,023870777;;132,586105;119,6904581;140,9444387;127,533025
jan/02;109,075;101,589;97,191;114,84;;0,999915999;1,000127404;1,000108163;0,999768629;;jan/02;-0,0568;0,1109;-0,1194;-0,0378;;mar/08;0,031728943;0,69019693;0,018228096;-0,012974934;;136,7929219;202,3004448;143,5135875;125,8782924
fev/02;109,176;143,544;94,721;112,919;;1,00000926;1,004129876;0,999745861;0,999832724;;fev/02;-0,0474;0,5267;-0,1195;-0,0530;;jun/08;0,023848357;-0,275450027;0,073587952;0,031356185;;140,0552083;146,5767818;154,0744585;129,8253554
mar/02;113,627;183,95;102,338;112,839;;1,00040769;1,002814886;1,000804151;0,999992915;;mar/02;0,0333;0,7085;0,0658;-0,0406;;set/08;0,019785567;-0,146093394;0,049587459;0,019308704;;142,82628;125,1628822;161,7146194;132,3321148
abr/02;115,918;172,67;107,36;114,817;;1,000201625;0,99938679;1,000490727;1,000175294;;abr/02;0,0619;0,6339;0,1041;0,0001;;dez/08;-0,088872352;-0,048574972;-0,218129912;-0,024329389;;130,1329726;119,0830988;126,4398237;129,1125553
mai/02;115,742;129,829;109,511;117,017;;0,999984817;0,997518909;1,000200354;1,000191609;;mai/02;0,0594;-0,0287;0,1496;0,0360;;mar/09;0,054653976;0,733590607;0,061082984;-0,00156216;;137,2452569;206,4413415;134,1631454;128,9108609
jun/02;114,576;131,912;106,119;117,268;;0,999899259;1,000160442;0,999690259;1,00002145;;jun/02;0,0086;-0,2933;0,0381;0,0388;;jun/09;9,77608E-05;-0,362437002;0,062605254;0,017130004;;137,2586742;131,6193606;142,5624632;131,1191044
jul/02;119,656;167,31;111,778;119,292;;1,000443374;1,002683456;1,000533269;1,000172596;;jul/02;0,0327;0,0356;0,0424;0,0386;;set/09;0,039004252;-0,108478668;0,071764727;0,035008264;;142,6123461;117,3414676;152,7934194;135,7093566
ago/02;120,14;146,559;113,486;121,095;;1,000040449;0,998759727;1,000152803;1,000151142;;ago/02;0,0383;0,1601;0,0376;0,0345;;dez/09;-0,002011402;0,016356207;-0,032204185;0,012033839;;142,3254953;119,2607289;147,8728318;137,3424611
set/02;118,707;116,514;113,534;121,696;;0,999880722;0,997949972;1,00000423;1,00004963;;set/02;0,0365;-0,0613;0,0690;0,0373;;mar/10;0,063628023;0,811354535;0,060013267;0,005324944;;151,3813852;216,0234621;156,7471635;138,073802
out/02;122,958;98,732;123,594;124,535;;1,000358109;0,998473831;1,000886078;1,000233286;;out/02;0,0279;-0,4809;0,1043;0,0434;;jun/10;-0,022969764;-0,360198709;0,019721355;0,002437277;;147,9041905;138,21209;159,83843;138,4103261
