Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2005-12-31;14;280.8;4.9;81.6;934.9;28;21.2;15.8;62.8;9;3.6;
2006-01-31;14;234.3;6.3;132.4;935.8;29.2;23.1;18.5;73.4;6.6;3.3;
2006-02-28;5;226.4;5.7;111.1;934.6;28;21.6;17.3;74;6.6;3.1;
2006-03-31;5;212.2;5.2;164.6;936;26.8;20.9;16.7;74.8;6.6;3.1;
2006-04-30;5;236.8;4.1;55;937.9;24;17.3;12.6;70.2;6.6;2.9;
2006-05-31;14;228;4;36.8;941.2;19.4;13;8.9;74;6.6;3.3;
2006-06-30;5;169.6;5.1;167.5;940.7;20;14.3;10.7;79;10.3;3.9;
2006-07-31;5;181.4;4.7;147.9;940.2;20;14.6;11;79;9.3;3.2;
2006-08-31;5;209.4;4.6;132.2;938.9;20.1;14;9.3;68.8;11.6;3.9;
2006-09-30;5;192.6;5.3;112.8;938.6;21.3;14.8;9.9;67.6;11.6;4.1;
2006-10-31;5;229.6;5.6;94.9;936.3;26.8;19.7;14.4;68.1;8.3;3.9;
2006-11-30;14;230.2;5.4;311.9;935.7;26.4;19.9;14.8;66.1;10;4.1;
2006-12-31;5;270.7;5.2;106.3;935;30;23.5;18.1;65.2;8.6;3.2;
2007-01-31;5;231.2;6.2;260.7;934.1;27.8;22.3;18.1;77.1;7;3.6;
2007-02-28;5;222.2;5.7;126.8;935.6;27.5;21.8;17.5;75.6;8;3.5;
2007-03-31;0;190.4;6.7;198.7;936.8;28.2;22.2;18.1;77.6;8;2.9;
2007-04-30;5;191.6;5.1;254.5;938.6;25.4;19.4;15.3;75.6;7;3.2;
2007-05-31;5;163.9;6.4;295.3;939.8;17.7;12.6;9.1;79.1;9.1;3.8;
2007-06-30;36;110.1;7;68.3;938.9;19.1;13.8;10.2;75.7;9.3;3.4;
2007-07-31;5;174.5;5.4;325.7;939.2;16.2;10.6;6.4;76.1;10;3.9;
2007-08-31;5;154.5;6.1;128.7;940.1;19.2;13;8.7;77.4;10;4.8;
2007-09-30;9;169.2;5.2;268.6;940.1;23.4;17.8;13.5;71;10;4.1;
2007-10-31;5;131.5;7.6;293.5;936.7;24;18.8;14.8;76.5;9;4.3;
2007-11-30;5;259.9;4.1;186.5;934.8;25.3;18.9;13.5;63.1;13.6;3.4;
2007-12-31;14;281.9;5.3;218.4;934.3;29.5;22.2;16.6;65.1;8.3;3.4;
2008-01-31;14;277.5;5.2;82.8;935.3;28;21.7;16.9;70.6;8.3;4.1;
2008-02-29;5;232.7;5.2;150.2;935.2;27.8;21.3;16.4;71.8;8;3.3;
2008-03-31;5;227.8;5.5;130;936.2;27.2;20.6;16.4;75.1;6.6;3.5;
2008-04-30;0;205.7;5.1;297.3;935.9;23.9;17.2;12.5;72.1;9.3;3;
2008-05-31;5;192.7;5.2;102.3;939;20.7;14.3;10.1;72.5;10;3.4;
2008-06-30;5;131.7;7;232.2;940;16.7;11.4;7.8;79.1;8.3;3.4;
2008-07-31;5;209.3;4.3;59.8;940.5;21.6;15.3;11.1;73.8;8.6;3.6;
2008-08-31;5;190.6;5.9;163.1;937.9;20.2;14.6;10.7;77.2;7.5;3.7;
2008-09-30;5;191.7;5.9;97.5;939.3;19.6;13.3;8.8;73.2;8.6;4.1;
2008-10-31;5;167.5;6.8;351.7;937.9;22.7;17.5;13.7;77.6;9.6;3.8;
2008-11-30;9;257.2;5;237.4;935.9;27.2;20.3;15.1;66.7;9;4.2;
2008-12-31;14;284.9;4.8;72.6;934.5;29;21.7;16.2;63.1;6.6;3.4;
2009-01-31;14;234.2;5.8;94.5;935.3;27.3;20.8;16;73.1;8.3;3.8;
2009-02-28;0;172.7;6.9;155.4;935.2;28.5;22.2;17.9;75.2;7;3;
2009-03-31;5;229.4;5;76.4;935.7;28.2;21.3;16.8;74.4;6.6;2.8;
2009-04-30;14;252.8;2.8;4.8;938.6;27.1;19.4;14.3;65.5;6.8;2.9;
2009-05-31;5;179.7;5.5;185;938.3;22.5;15.8;11.5;73;8.3;3.1;
2009-06-30;5;182;5.8;75.2;940.1;17.3;11;7.2;76.9;13.3;3.3;
2009-07-31;5;155.5;5.8;222.3;939.7;15.8;10.4;6.7;74.7;9;3;
2009-08-31;5;185.8;5.5;268.8;939.1;21;14.9;10.5;74.4;8.3;3.9;
2009-09-30;5;126.5;7.1;489.7;937.6;19.3;14.7;11.4;81.9;10;4.1;
2009-10-31;5;212.8;5.5;133.9;935.7;24.4;17.9;13;72.3;9.1;3.7;
2009-11-30;5;146.2;6.8;349;933.1;28.6;22.4;18.2;78.6;11.6;3.9;
2009-12-31;14;238.2;6.6;142;934.5;28.6;22.3;17.8;73.9;8.3;3.6;
2010-01-31;14;184.5;6.8;126.5;935;28.2;22.3;18.3;80.2;8.3;3.6;
2010-02-28;5;222.1;5.8;103.6;935.8;29.4;23.1;18.9;78.3;8.3;3.6;
2010-03-31;0;209.7;5.3;68;936.3;27.6;21;16.4;75.3;8.3;2.8;
2010-04-30;5;187.5;5;216.4;939.6;23.9;17.7;13.4;75.2;6.6;3.5;
2010-05-31;5;100.2;7.3;130.9;939.4;19;14.1;10.8;83.6;7.8;3.2;
2010-06-30;5;159;5.9;141.7;940.9;19.1;13.4;9.6;78.6;8.3;3.8;
2010-07-31;5;172.4;5.2;187.1;941.4;18.8;12.6;8.3;79.9;9;4;
2010-08-31;5;120.1;6;49.2;941.5;19.5;13.3;9;73.5;8.3;4.1;
2010-09-30;5;161.6;5.8;240;938.3;21.4;15.6;11.6;75.9;10;3.9;
2010-10-31;14;205.5;5.1;143.7;937.5;23;16.5;11.4;69.7;9.3;3.3;
2010-11-30;14;259;4.7;60;934.8;26.9;19.5;13.5;63.8;7.3;3.2;
2010-12-31;5;253.5;5.5;194.4;933.2;27.9;21.5;16.3;69.4;7;3.6;
2011-01-31;14;224.8;6.4;150.4;933.4;29.5;23;18.5;77.6;8.3;2.8;
2011-02-28;0;139.1;7.5;219.4;936.2;27;21.9;18.6;84.3;7;3.1;
2011-03-31;5;218.2;5.2;219.6;937.2;26.5;20.3;15.9;75.3;8;3.9;
2011-04-30;5;207;4.9;108.8;938.3;25.2;18.4;13.9;73.5;9.1;2.9;
2011-05-31;5;181.3;5.4;137.1;940.8;19.8;14.1;10.6;79;8.3;3.4;
2011-06-30;5;129.3;6.2;226.7;939.7;16.7;11.4;8;81.9;10;3.4;
2011-07-31;5;151.7;6.7;340;939.6;17.6;12.4;9.2;78.8;8.3;3.5;
2011-08-31;5;154.1;6.4;254.4;938.8;19;13.4;9.6;77;11.3;4.4;
2011-09-30;5;196.6;4.1;47.3;940.8;22.1;15.4;10.1;68.9;7.5;3.8;
2011-10-31;5;254;4.6;194.7;936.3;25.1;18.3;13.4;67.2;8.3;3.6;
2011-11-30;5;253.8;4.6;77.1;936.5;27.2;20.2;14.5;61.3;7.6;3.9;
2011-12-31;14;263.7;5.8;91.2;934.8;28.1;21.2;15.4;60.3;7.6;3.6;
2012-01-31;5;287.2;4.5;105.3;935;29;22.1;16.9;69;6.6;3.7;
2012-02-29;5;226.1;6.3;86;936.1;31;23.6;18.6;68.9;8;3.1;
2012-03-31;0;279.4;3.6;114.5;937.8;28.5;20.7;15.2;64.9;7.3;3;
2012-04-30;5;189;5;58.2;937.7;24.7;18;13.4;69.4;7.5;3.3;
2012-05-31;5;236.3;3.9;28.5;941;22.9;15.7;10.9;69.6;8.6;3.6;
2012-06-30;5;169.7;5.3;186.6;940.3;18.7;13;9.1;78.9;7.3;3.1;
2012-07-31;5;172;5.9;209.3;940.4;17.3;11.5;7.7;78.6;10;3.6;
2012-08-31;5;200.6;5.4;28.1;942.8;22.5;16.3;12.1;72.8;9;4.3;
2012-09-30;5;180.6;6;142.3;939.7;23.2;16.4;11.6;68.1;10;4.4;
2012-10-31;5;139.2;7;253.2;936.6;24.9;19;14.5;71.1;10;4.1;
2012-11-30;14;272.9;4.8;34;935.6;28.9;21.7;15.7;56.7;7.6;4.2;
2012-12-31;14;215.1;6.5;176.3;934.2;28.9;23;18.3;73.8;11.6;3.9;
2013-01-31;14;290.3;4.2;101.8;936.3;27.7;21.3;15.9;68.5;6.6;3.9;
2013-02-28;5;206.5;6.1;170.5;936.3;27.6;21.4;17.1;77.7;7;3.1;
2013-03-31;14;155.1;6.7;165.9;937.9;24.1;18.4;14.4;78.9;7;3.8;
2013-04-30;5;241.5;3.2;95.7;939.1;25.1;17.9;12.8;68.8;6.6;3.2;
2013-05-31;5;150.2;6.3;85.2;939.1;20.5;14.6;10.5;76;11.6;3.3;
2013-06-30;5;126.2;6.8;127.6;939.6;18.1;13.2;9.8;85.1;8.6;3.3;
2013-07-31;5;211.9;4.3;81.4;941.6;18.2;12;7.6;74.9;10;3.8;
2013-08-31;5;175.1;5.5;363.6;940.6;18.2;12;7.8;76.2;10;4;
2013-09-30;5;146.5;5.9;184;939.3;21;15.2;10.9;74.4;7;3.9;
2013-10-31;5;212;5.9;186.4;938.2;23.8;17.7;13.1;67.8;8.3;3.8;
2013-11-30;5;248.1;4.8;103.9;935.8;27.8;20.8;15.4;64;11.6;4.6;
2013-12-31;14;285.2;5.4;66.4;934.1;30.2;23.2;17.8;64.8;8.3;3.7;
2014-01-31;32;243.3;5.6;193.7;936.4;29.4;23.2;18.5;74.4;8.3;3.5;
2014-02-28;5;233.6;5.9;140.8;937.3;29.6;22.6;18;72.3;7.6;3.8;
2014-03-31;5;204.7;5.7;236.4;937.4;26.4;20.2;15.8;75.5;8.6;3.4;
2014-04-30;5;173.8;5.5;137.4;939.4;24.1;18.3;14.4;75.9;8.3;3.6;
2014-05-31;5;169.5;6.2;222.1;939.8;20.1;14.5;11;81.3;8.3;2.9;
2014-06-30;5;100.2;7.3;284.4;939.3;17.3;13.2;10.4;86.2;10;3.8;
2014-07-31;5;198.9;4.6;108.1;942.4;18.8;13.2;9.4;77.7;6.6;3.7;
2014-08-31;5;199.1;4;126.1;940.9;21.5;14.7;9.9;70.8;8.3;3.6;
2014-09-30;5;127;6.6;261.2;937.5;22.4;17;13.2;78.1;8.3;3.9;
2014-10-31;5;202.7;6.2;176.8;938.4;26.4;19.8;14.8;70;10;3.9;
2014-11-30;14;234.6;5.3;143.6;935.9;27.7;21.2;16;64.4;8.3;3.9;
2014-12-31;5;205.3;6.6;208;935.5;27.4;21.7;17.4;72.2;9;3.9;
2015-01-31;5;208;7.1;333.5;937;27.9;22;17.9;80.3;7.5;3.3;
2015-02-28;5;217.2;6.1;111.8;936.5;27.6;21.7;17.5;78.5;6.6;3.2;
2015-03-31;14;205.4;5.6;43.5;937.4;27.7;21.4;17;72.2;6.6;3.5;
2015-04-30;5;195;4.7;147.7;938.9;24.8;18.5;14.1;73.4;6.6;3.2;
2015-05-31;5;156.5;6.2;166.3;940;20.3;15.5;12.2;80.7;8.3;3.5;
2015-06-30;5;164.8;5.4;172.8;941.5;18.8;13.4;9.6;80.1;7;3.7;
2015-07-31;5;114.7;7.5;322.5;939.8;18.1;13.3;10;85.1;10;3.3;
2015-08-31;5;167.6;5.8;55;939.1;24;17.7;13.3;69.5;8.3;4;
2015-09-30;5;158.4;5.8;200.4;936.4;22.6;16.3;11.8;73.5;10;3.6;
2015-10-31;5;135.5;7.5;264;937;24.1;18.2;13.9;77.9;8.6;4;
2015-11-30;14;143.9;7.9;208.7;935;25;19.4;15.3;78.3;6.6;3.9;
2015-12-31;5;152.2;7.6;347;935.3;26.8;21.7;17.8;79.8;8.3;3.6;
2016-01-31;5;235.1;5.5;190.3;935.1;29.1;23.2;18.6;71.2;6.6;3.4;
